,Unnamed: 0,class,object,session,im_path,im_num,task,label
0,15770,crab,0,0,train/crab/0171.png,171,0,0
1,54825,trout,0,0,train/trout/0226.png,226,0,1
2,55050,trout,0,0,train/trout/0451.png,451,0,1
3,22697,house,0,0,train/house/0498.png,498,0,2
4,15840,crab,0,0,train/crab/0241.png,241,0,0
5,16032,crab,0,0,train/crab/0433.png,433,0,0
6,16074,crab,0,0,train/crab/0475.png,475,0,0
7,22621,house,0,0,train/house/0422.png,422,0,2
8,15663,crab,0,0,train/crab/0064.png,64,0,0
9,54818,trout,0,0,train/trout/0219.png,219,0,1
10,47268,snake,0,0,train/snake/0469.png,469,0,3
11,29442,mountain,0,0,train/mountain/0043.png,43,0,4
12,22262,house,0,0,train/house/0063.png,63,0,2
13,15721,crab,0,0,train/crab/0122.png,122,0,0
14,16090,crab,0,0,train/crab/0491.png,491,0,0
15,22533,house,0,0,train/house/0334.png,334,0,2
16,22390,house,0,0,train/house/0191.png,191,0,2
17,29624,mountain,0,0,train/mountain/0225.png,225,0,4
18,54957,trout,0,0,train/trout/0358.png,358,0,1
19,54835,trout,0,0,train/trout/0236.png,236,0,1
20,15870,crab,0,0,train/crab/0271.png,271,0,0
21,15715,crab,0,0,train/crab/0116.png,116,0,0
22,15660,crab,0,0,train/crab/0061.png,61,0,0
23,54808,trout,0,0,train/trout/0209.png,209,0,1
24,15626,crab,0,0,train/crab/0027.png,27,0,0
25,47269,snake,0,0,train/snake/0470.png,470,0,3
26,15751,crab,0,0,train/crab/0152.png,152,0,0
27,55097,trout,0,0,train/trout/0498.png,498,0,1
28,46928,snake,0,0,train/snake/0129.png,129,0,3
29,46865,snake,0,0,train/snake/0066.png,66,0,3
30,29539,mountain,0,0,train/mountain/0140.png,140,0,4
31,15956,crab,0,0,train/crab/0357.png,357,0,0
32,16056,crab,0,0,train/crab/0457.png,457,0,0
33,47175,snake,0,0,train/snake/0376.png,376,0,3
34,22239,house,0,0,train/house/0040.png,40,0,2
35,47088,snake,0,0,train/snake/0289.png,289,0,3
36,47244,snake,0,0,train/snake/0445.png,445,0,3
37,54647,trout,0,0,train/trout/0048.png,48,0,1
38,22469,house,0,0,train/house/0270.png,270,0,2
39,47031,snake,0,0,train/snake/0232.png,232,0,3
40,47005,snake,0,0,train/snake/0206.png,206,0,3
41,54861,trout,0,0,train/trout/0262.png,262,0,1
42,22268,house,0,0,train/house/0069.png,69,0,2
43,47047,snake,0,0,train/snake/0248.png,248,0,3
44,29457,mountain,0,0,train/mountain/0058.png,58,0,4
45,29448,mountain,0,0,train/mountain/0049.png,49,0,4
46,54645,trout,0,0,train/trout/0046.png,46,0,1
47,29738,mountain,0,0,train/mountain/0339.png,339,0,4
48,54914,trout,0,0,train/trout/0315.png,315,0,1
49,22284,house,0,0,train/house/0085.png,85,0,2
50,55043,trout,0,0,train/trout/0444.png,444,0,1
51,55039,trout,0,0,train/trout/0440.png,440,0,1
52,22628,house,0,0,train/house/0429.png,429,0,2
53,29663,mountain,0,0,train/mountain/0264.png,264,0,4
54,22381,house,0,0,train/house/0182.png,182,0,2
55,16019,crab,0,0,train/crab/0420.png,420,0,0
56,22457,house,0,0,train/house/0258.png,258,0,2
57,47151,snake,0,0,train/snake/0352.png,352,0,3
58,55096,trout,0,0,train/trout/0497.png,497,0,1
59,22627,house,0,0,train/house/0428.png,428,0,2
60,15819,crab,0,0,train/crab/0220.png,220,0,0
61,15941,crab,0,0,train/crab/0342.png,342,0,0
62,22629,house,0,0,train/house/0430.png,430,0,2
63,29698,mountain,0,0,train/mountain/0299.png,299,0,4
64,47223,snake,0,0,train/snake/0424.png,424,0,3
65,15928,crab,0,0,train/crab/0329.png,329,0,0
66,29811,mountain,0,0,train/mountain/0412.png,412,0,4
67,55031,trout,0,0,train/trout/0432.png,432,0,1
68,29793,mountain,0,0,train/mountain/0394.png,394,0,4
69,22451,house,0,0,train/house/0252.png,252,0,2
70,54696,trout,0,0,train/trout/0097.png,97,0,1
71,22479,house,0,0,train/house/0280.png,280,0,2
72,29809,mountain,0,0,train/mountain/0410.png,410,0,4
73,15853,crab,0,0,train/crab/0254.png,254,0,0
74,29425,mountain,0,0,train/mountain/0026.png,26,0,4
75,46853,snake,0,0,train/snake/0054.png,54,0,3
76,54916,trout,0,0,train/trout/0317.png,317,0,1
77,29587,mountain,0,0,train/mountain/0188.png,188,0,4
78,47193,snake,0,0,train/snake/0394.png,394,0,3
79,54952,trout,0,0,train/trout/0353.png,353,0,1
80,54775,trout,0,0,train/trout/0176.png,176,0,1
81,29592,mountain,0,0,train/mountain/0193.png,193,0,4
82,22597,house,0,0,train/house/0398.png,398,0,2
83,55074,trout,0,0,train/trout/0475.png,475,0,1
84,22416,house,0,0,train/house/0217.png,217,0,2
85,54793,trout,0,0,train/trout/0194.png,194,0,1
86,29580,mountain,0,0,train/mountain/0181.png,181,0,4
87,29766,mountain,0,0,train/mountain/0367.png,367,0,4
88,22358,house,0,0,train/house/0159.png,159,0,2
89,29897,mountain,0,0,train/mountain/0498.png,498,0,4
90,54998,trout,0,0,train/trout/0399.png,399,0,1
91,54853,trout,0,0,train/trout/0254.png,254,0,1
92,15779,crab,0,0,train/crab/0180.png,180,0,0
93,29588,mountain,0,0,train/mountain/0189.png,189,0,4
94,22404,house,0,0,train/house/0205.png,205,0,2
95,15878,crab,0,0,train/crab/0279.png,279,0,0
96,47014,snake,0,0,train/snake/0215.png,215,0,3
97,54673,trout,0,0,train/trout/0074.png,74,0,1
98,22276,house,0,0,train/house/0077.png,77,0,2
99,47200,snake,0,0,train/snake/0401.png,401,0,3
100,54922,trout,0,0,train/trout/0323.png,323,0,1
101,29867,mountain,0,0,train/mountain/0468.png,468,0,4
102,55062,trout,0,0,train/trout/0463.png,463,0,1
103,46836,snake,0,0,train/snake/0037.png,37,0,3
104,22225,house,0,0,train/house/0026.png,26,0,2
105,15814,crab,0,0,train/crab/0215.png,215,0,0
106,22315,house,0,0,train/house/0116.png,116,0,2
107,47018,snake,0,0,train/snake/0219.png,219,0,3
108,47176,snake,0,0,train/snake/0377.png,377,0,3
109,54618,trout,0,0,train/trout/0019.png,19,0,1
110,29502,mountain,0,0,train/mountain/0103.png,103,0,4
111,15794,crab,0,0,train/crab/0195.png,195,0,0
112,29701,mountain,0,0,train/mountain/0302.png,302,0,4
113,29610,mountain,0,0,train/mountain/0211.png,211,0,4
114,15600,crab,0,0,train/crab/0001.png,1,0,0
115,15637,crab,0,0,train/crab/0038.png,38,0,0
116,29881,mountain,0,0,train/mountain/0482.png,482,0,4
117,47118,snake,0,0,train/snake/0319.png,319,0,3
118,15841,crab,0,0,train/crab/0242.png,242,0,0
119,15800,crab,0,0,train/crab/0201.png,201,0,0
120,29438,mountain,0,0,train/mountain/0039.png,39,0,4
121,15796,crab,0,0,train/crab/0197.png,197,0,0
122,22591,house,0,0,train/house/0392.png,392,0,2
123,15786,crab,0,0,train/crab/0187.png,187,0,0
124,54926,trout,0,0,train/trout/0327.png,327,0,1
125,22376,house,0,0,train/house/0177.png,177,0,2
126,47245,snake,0,0,train/snake/0446.png,446,0,3
127,15925,crab,0,0,train/crab/0326.png,326,0,0
128,47226,snake,0,0,train/snake/0427.png,427,0,3
129,15694,crab,0,0,train/crab/0095.png,95,0,0
130,54890,trout,0,0,train/trout/0291.png,291,0,1
131,54817,trout,0,0,train/trout/0218.png,218,0,1
132,46817,snake,0,0,train/snake/0018.png,18,0,3
133,29885,mountain,0,0,train/mountain/0486.png,486,0,4
134,47261,snake,0,0,train/snake/0462.png,462,0,3
135,54846,trout,0,0,train/trout/0247.png,247,0,1
136,22510,house,0,0,train/house/0311.png,311,0,2
137,54806,trout,0,0,train/trout/0207.png,207,0,1
138,22387,house,0,0,train/house/0188.png,188,0,2
139,16007,crab,0,0,train/crab/0408.png,408,0,0
140,29837,mountain,0,0,train/mountain/0438.png,438,0,4
141,22687,house,0,0,train/house/0488.png,488,0,2
142,46807,snake,0,0,train/snake/0008.png,8,0,3
143,47246,snake,0,0,train/snake/0447.png,447,0,3
144,29796,mountain,0,0,train/mountain/0397.png,397,0,4
145,54995,trout,0,0,train/trout/0396.png,396,0,1
146,47264,snake,0,0,train/snake/0465.png,465,0,3
147,15817,crab,0,0,train/crab/0218.png,218,0,0
148,46936,snake,0,0,train/snake/0137.png,137,0,3
149,29842,mountain,0,0,train/mountain/0443.png,443,0,4
150,15602,crab,0,0,train/crab/0003.png,3,0,0
151,47032,snake,0,0,train/snake/0233.png,233,0,3
152,22399,house,0,0,train/house/0200.png,200,0,2
153,29797,mountain,0,0,train/mountain/0398.png,398,0,4
154,55058,trout,0,0,train/trout/0459.png,459,0,1
155,15634,crab,0,0,train/crab/0035.png,35,0,0
156,22449,house,0,0,train/house/0250.png,250,0,2
157,54905,trout,0,0,train/trout/0306.png,306,0,1
158,47021,snake,0,0,train/snake/0222.png,222,0,3
159,29844,mountain,0,0,train/mountain/0445.png,445,0,4
160,47134,snake,0,0,train/snake/0335.png,335,0,3
161,15806,crab,0,0,train/crab/0207.png,207,0,0
162,47075,snake,0,0,train/snake/0276.png,276,0,3
163,29434,mountain,0,0,train/mountain/0035.png,35,0,4
164,22374,house,0,0,train/house/0175.png,175,0,2
165,55067,trout,0,0,train/trout/0468.png,468,0,1
166,16092,crab,0,0,train/crab/0493.png,493,0,0
167,46896,snake,0,0,train/snake/0097.png,97,0,3
