,class,object,session,im_path,im_num
0,apple,0,0,train/apple/0001.png,1
1,apple,0,0,train/apple/0002.png,2
2,apple,0,0,train/apple/0003.png,3
3,apple,0,0,train/apple/0004.png,4
4,apple,0,0,train/apple/0005.png,5
5,apple,0,0,train/apple/0006.png,6
6,apple,0,0,train/apple/0007.png,7
7,apple,0,0,train/apple/0008.png,8
8,apple,0,0,train/apple/0009.png,9
9,apple,0,0,train/apple/0010.png,10
10,apple,0,0,train/apple/0011.png,11
11,apple,0,0,train/apple/0012.png,12
12,apple,0,0,train/apple/0013.png,13
13,apple,0,0,train/apple/0014.png,14
14,apple,0,0,train/apple/0015.png,15
15,apple,0,0,train/apple/0016.png,16
16,apple,0,0,train/apple/0017.png,17
17,apple,0,0,train/apple/0018.png,18
18,apple,0,0,train/apple/0019.png,19
19,apple,0,0,train/apple/0020.png,20
20,apple,0,0,train/apple/0021.png,21
21,apple,0,0,train/apple/0022.png,22
22,apple,0,0,train/apple/0023.png,23
23,apple,0,0,train/apple/0024.png,24
24,apple,0,0,train/apple/0025.png,25
25,apple,0,0,train/apple/0026.png,26
26,apple,0,0,train/apple/0027.png,27
27,apple,0,0,train/apple/0028.png,28
28,apple,0,0,train/apple/0029.png,29
29,apple,0,0,train/apple/0030.png,30
30,apple,0,0,train/apple/0031.png,31
31,apple,0,0,train/apple/0032.png,32
32,apple,0,0,train/apple/0033.png,33
33,apple,0,0,train/apple/0034.png,34
34,apple,0,0,train/apple/0035.png,35
35,apple,0,0,train/apple/0036.png,36
36,apple,0,0,train/apple/0037.png,37
37,apple,0,0,train/apple/0038.png,38
38,apple,0,0,train/apple/0039.png,39
39,apple,0,0,train/apple/0040.png,40
40,apple,0,0,train/apple/0041.png,41
41,apple,0,0,train/apple/0042.png,42
42,apple,0,0,train/apple/0043.png,43
43,apple,0,0,train/apple/0044.png,44
44,apple,0,0,train/apple/0045.png,45
45,apple,0,0,train/apple/0046.png,46
46,apple,0,0,train/apple/0047.png,47
47,apple,0,0,train/apple/0048.png,48
48,apple,0,0,train/apple/0049.png,49
49,apple,0,0,train/apple/0050.png,50
50,apple,0,0,train/apple/0051.png,51
51,apple,0,0,train/apple/0052.png,52
52,apple,0,0,train/apple/0053.png,53
53,apple,0,0,train/apple/0054.png,54
54,apple,0,0,train/apple/0055.png,55
55,apple,0,0,train/apple/0056.png,56
56,apple,0,0,train/apple/0057.png,57
57,apple,0,0,train/apple/0058.png,58
58,apple,0,0,train/apple/0059.png,59
59,apple,0,0,train/apple/0060.png,60
60,apple,0,0,train/apple/0061.png,61
61,apple,0,0,train/apple/0062.png,62
62,apple,0,0,train/apple/0063.png,63
63,apple,0,0,train/apple/0064.png,64
64,apple,0,0,train/apple/0065.png,65
65,apple,0,0,train/apple/0066.png,66
66,apple,0,0,train/apple/0067.png,67
67,apple,0,0,train/apple/0068.png,68
68,apple,0,0,train/apple/0069.png,69
69,apple,0,0,train/apple/0070.png,70
70,apple,0,0,train/apple/0071.png,71
71,apple,0,0,train/apple/0072.png,72
72,apple,0,0,train/apple/0073.png,73
73,apple,0,0,train/apple/0074.png,74
74,apple,0,0,train/apple/0075.png,75
75,apple,0,0,train/apple/0076.png,76
76,apple,0,0,train/apple/0077.png,77
77,apple,0,0,train/apple/0078.png,78
78,apple,0,0,train/apple/0079.png,79
79,apple,0,0,train/apple/0080.png,80
80,apple,0,0,train/apple/0081.png,81
81,apple,0,0,train/apple/0082.png,82
82,apple,0,0,train/apple/0083.png,83
83,apple,0,0,train/apple/0084.png,84
84,apple,0,0,train/apple/0085.png,85
85,apple,0,0,train/apple/0086.png,86
86,apple,0,0,train/apple/0087.png,87
87,apple,0,0,train/apple/0088.png,88
88,apple,0,0,train/apple/0089.png,89
89,apple,0,0,train/apple/0090.png,90
90,apple,0,0,train/apple/0091.png,91
91,apple,0,0,train/apple/0092.png,92
92,apple,0,0,train/apple/0093.png,93
93,apple,0,0,train/apple/0094.png,94
94,apple,0,0,train/apple/0095.png,95
95,apple,0,0,train/apple/0096.png,96
96,apple,0,0,train/apple/0097.png,97
97,apple,0,0,train/apple/0098.png,98
98,apple,0,0,train/apple/0099.png,99
99,apple,0,0,train/apple/0100.png,100
100,apple,0,0,train/apple/0101.png,101
101,apple,0,0,train/apple/0102.png,102
102,apple,0,0,train/apple/0103.png,103
103,apple,0,0,train/apple/0104.png,104
104,apple,0,0,train/apple/0105.png,105
105,apple,0,0,train/apple/0106.png,106
106,apple,0,0,train/apple/0107.png,107
107,apple,0,0,train/apple/0108.png,108
108,apple,0,0,train/apple/0109.png,109
109,apple,0,0,train/apple/0110.png,110
110,apple,0,0,train/apple/0111.png,111
111,apple,0,0,train/apple/0112.png,112
112,apple,0,0,train/apple/0113.png,113
113,apple,0,0,train/apple/0114.png,114
114,apple,0,0,train/apple/0115.png,115
115,apple,0,0,train/apple/0116.png,116
116,apple,0,0,train/apple/0117.png,117
117,apple,0,0,train/apple/0118.png,118
